Name,Beam Trawl,Demersal Trawl & Seine,Sandeel Trawl,Pelagic Trawl,Drift and Fixed Nets,Nephrops Trawl,Hooked Gears,Shrimp Trawl,Dredge,Pots,Shellfish Gear,Other Gear
0,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
14,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
February,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
March,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
April,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
May,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
June,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
July,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
August,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
September,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
October,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
November,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
December,0.9364783,0.9830194,0.9830194,1.079617,1,0.9830194,1,0.9830194,1,1,1,1
15,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
February,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
March,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
April,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
May,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
June,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
July,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
August,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
September,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
October,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
November,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
December,0.8718461,0.9621369,0.9621369,1.071613,1,0.9621369,1,0.9621369,1,1,1,1
16,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
February,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
March,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
April,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
May,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
June,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
July,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
August,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
September,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
October,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
November,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
December,0.8289676,0.9676099,0.9676099,1.050377,1,0.9676099,1,0.9676099,1,1,1,1
17,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
February,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
March,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
April,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
May,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
June,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
July,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
August,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
September,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
October,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
November,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
December,0.8167918,1.027373,1.027373,1.010539,1,1.027373,1,1.027373,1,1,1,1
18,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
February,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
March,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
April,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
May,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
June,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
July,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
August,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
September,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
October,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
November,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
December,0.6833232,0.9146881,0.9146881,0.785493,1,0.9146881,1,0.9146881,1,1,1,1
19,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
February,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
March,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
April,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
May,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
June,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
July,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
August,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
September,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
October,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
November,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
December,0.6231979,1.132516,1.132516,1.751141,1,1.132516,1,1.132516,1,1,1,1
20,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
February,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
March,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
April,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
May,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
June,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
July,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
August,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
September,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
October,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
November,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
December,0.6347272,1.086849,1.086849,2.059046,1,1.086849,1,1.086849,1,1,1,1
21,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
February,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
March,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
April,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
May,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
June,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
July,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
August,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
September,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
October,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
November,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
December,0.6437114,1.042184,1.042184,2.070678,1,1.042184,1,1.042184,1,1,1,1
22,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
February,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
March,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
April,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
May,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
June,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
July,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
August,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
September,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
October,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
November,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
December,0.6390933,0.9874533,0.9874533,1.709168,1,0.9874533,1,0.9874533,1,1,1,1
23,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
February,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
March,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
April,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
May,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
June,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
July,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
August,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
September,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
October,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
November,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
December,0.606539,0.6654673,0.6654673,1.095894,1,0.6654673,1,0.6654673,1,1,1,1
24,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
February,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
March,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
April,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
May,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
June,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
July,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
August,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
September,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
October,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
November,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
December,0.5844637,0.9162183,0.9162183,1.924952,1,0.9162183,1,0.9162183,1,1,1,1
